tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres
tt0053809,movie,Faces in the Dark,Faces in the Dark,0,1960,84,"Drama,Mystery,Thriller"
tt0053810,movie,The Facts of Life,The Facts of Life,0,1960,103,"Comedy,Drama,Romance"
tt0053811,movie,Faja lobbi,Faja lobbi,0,1960,70,Documentary
tt0053813,movie,The Phantom of the Operetta,El fantasma de la opereta,0,1960,90,"Comedy,Fantasy,Musical"
tt0053814,movie,The Joker,Le farceur,0,1960,88,Comedy
tt0053816,movie,Die Fastnachtsbeichte,Die Fastnachtsbeichte,0,1960,97,"Crime,Thriller"
tt0053817,movie,Ottsy i deti,Ottsy i deti,0,1959,100,"Drama,History"
tt0053818,movie,Feet of Clay,Feet of Clay,0,1961,55,"Crime,Drama"
tt0053819,movie,"Love, the Italian Way",Femmine di lusso,0,1960,95,"Comedy,Romance"
tt0053820,movie,Ferdinando I° re di Napoli,Ferdinando I° re di Napoli,0,1959,105,Comedy
tt0053821,movie,Feria en Sevilla,Feria en Sevilla,0,1962,86,Comedy
tt0053822,movie,The Festival Girls,The Festival Girls,0,1961,76,Drama
tt0053823,movie,Festival en Benidorm,Festival en Benidorm,0,1961,88,"Comedy,Musical"
tt0053824,movie,The Party Is Over,Fin de fiesta,0,1960,104,Drama
tt0053825,movie,Flaming Star,Flaming Star,0,1960,101,Western
tt0053826,movie,Flemming og Kvik,Flemming og Kvik,0,1960,93,"Drama,Family"
tt0053828,movie,Flitterwochen in der Hölle,Flitterwochen in der Hölle,0,1960,95,Adventure
tt0053829,movie,Escape to Berlin,Flucht nach Berlin,0,1961,104,"Drama,Thriller"
tt0053830,movie,Fountain of Trevi,Fontana di Trevi,0,1960,102,Comedy
tt0053831,movie,For the Love of Mike,For the Love of Mike,0,1960,87,"Family,Western"
tt0053832,movie,Forelsket i København,Forelsket i København,0,1960,98,"Comedy,Drama,Family"
tt0053833,movie,Love and the Frenchwoman,La française et l'amour,0,1960,143,Comedy
tt0053834,movie,Frau Irene Besser,Frau Irene Besser,0,1961,93,Drama
tt0053835,movie,Die Frau am dunklen Fenster,Die Frau am dunklen Fenster,0,1960,97,"Crime,Drama"
tt0053836,movie,Eine Frau fürs ganze Leben,Eine Frau fürs ganze Leben,0,1960,122,"Comedy,Musical"
tt0053837,movie,Freckles,Freckles,0,1960,83,"Drama,Western"
tt0053838,movie,Freddy und die Melodie der Nacht,Freddy und die Melodie der Nacht,0,1960,93,"Crime,Musical"
tt0053839,movie,A French Mistress,A French Mistress,0,1960,98,"Comedy,Romance"
tt0053841,movie,From the Terrace,From the Terrace,0,1960,149,"Drama,Romance"
tt0053842,movie,The River Fuefuki,Fuefukigawa,0,1960,117,"Drama,History,War"
tt0053844,movie,Fundoshi isha,Fundoshi isha,0,1960,116,Drama
tt0053845,movie,Furtuna,Furtuna,0,1960,81,"Drama,War"
tt0053846,movie,Fünf Patronenhülsen,Fünf Patronenhülsen,0,1960,87,War
