tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,ordering,region,language,types,attributes,isOriginalTitle,decennie,split_genres,averageRating,numVotes
tt0120762,movie,Mulan,Mulan,0,1998,87,"Adventure,Animation,Comedy",74,FR,\N,\N,\N,0,de 1990 à 2000,Adventure,7.6,296469.0
tt0120762,movie,Mulan,Mulan,0,1998,87,"Adventure,Animation,Comedy",74,FR,\N,\N,\N,0,de 1990 à 2000,Animation,7.6,296469.0
tt0120762,movie,Mulan,Mulan,0,1998,87,"Adventure,Animation,Comedy",74,FR,\N,\N,\N,0,de 1990 à 2000,Comedy,7.6,296469.0
tt0120768,movie,The Negotiator,The Negotiator,0,1998,140,"Action,Crime,Drama",14,FR,\N,\N,\N,0,de 1990 à 2000,Action,7.3,146983.0
tt0120768,movie,The Negotiator,The Negotiator,0,1998,140,"Action,Crime,Drama",14,FR,\N,\N,\N,0,de 1990 à 2000,Crime,7.3,146983.0
tt0120768,movie,The Negotiator,The Negotiator,0,1998,140,"Action,Crime,Drama",14,FR,\N,\N,\N,0,de 1990 à 2000,Drama,7.3,146983.0
tt0120770,movie,A Night at the Roxbury,A Night at the Roxbury,0,1998,82,"Comedy,Music,Romance",25,FR,\N,imdbDisplay,\N,0,de 1990 à 2000,Comedy,6.2,62137.0
tt0120770,movie,A Night at the Roxbury,A Night at the Roxbury,0,1998,82,"Comedy,Music,Romance",25,FR,\N,imdbDisplay,\N,0,de 1990 à 2000,Music,6.2,62137.0
tt0120770,movie,A Night at the Roxbury,A Night at the Roxbury,0,1998,82,"Comedy,Music,Romance",25,FR,\N,imdbDisplay,\N,0,de 1990 à 2000,Romance,6.2,62137.0
tt0120780,movie,Out of Sight,Out of Sight,0,1998,123,"Comedy,Crime,Drama",14,FR,\N,imdbDisplay,\N,0,de 1990 à 2000,Comedy,7.0,95372.0
tt0120780,movie,Out of Sight,Out of Sight,0,1998,123,"Comedy,Crime,Drama",14,FR,\N,imdbDisplay,\N,0,de 1990 à 2000,Crime,7.0,95372.0
tt0120780,movie,Out of Sight,Out of Sight,0,1998,123,"Comedy,Crime,Drama",14,FR,\N,imdbDisplay,\N,0,de 1990 à 2000,Drama,7.0,95372.0
tt0120783,movie,The Parent Trap,The Parent Trap,0,1998,128,"Adventure,Comedy,Drama",47,FR,\N,imdbDisplay,\N,0,de 1990 à 2000,Adventure,6.6,143565.0
tt0120783,movie,The Parent Trap,The Parent Trap,0,1998,128,"Adventure,Comedy,Drama",47,FR,\N,imdbDisplay,\N,0,de 1990 à 2000,Comedy,6.6,143565.0
tt0120783,movie,The Parent Trap,The Parent Trap,0,1998,128,"Adventure,Comedy,Drama",47,FR,\N,imdbDisplay,\N,0,de 1990 à 2000,Drama,6.6,143565.0
tt0120784,movie,Payback,Payback,0,1999,100,"Action,Crime,Drama",48,FR,\N,\N,\N,0,de 1990 à 2000,Action,7.1,141048.0
tt0120784,movie,Payback,Payback,0,1999,100,"Action,Crime,Drama",48,FR,\N,\N,\N,0,de 1990 à 2000,Crime,7.1,141048.0
tt0120784,movie,Payback,Payback,0,1999,100,"Action,Crime,Drama",48,FR,\N,\N,\N,0,de 1990 à 2000,Drama,7.1,141048.0
tt0120787,movie,A Perfect Murder,A Perfect Murder,0,1998,107,"Crime,Drama,Thriller",14,FR,\N,\N,\N,0,de 1990 à 2000,Crime,6.6,87880.0
tt0120787,movie,A Perfect Murder,A Perfect Murder,0,1998,107,"Crime,Drama,Thriller",14,FR,\N,\N,\N,0,de 1990 à 2000,Drama,6.6,87880.0
tt0120787,movie,A Perfect Murder,A Perfect Murder,0,1998,107,"Crime,Drama,Thriller",14,FR,\N,\N,\N,0,de 1990 à 2000,Thriller,6.6,87880.0
tt0120789,movie,Pleasantville,Pleasantville,0,1998,124,"Comedy,Drama,Fantasy",17,FR,\N,\N,\N,0,de 1990 à 2000,Comedy,7.5,131828.0
tt0120789,movie,Pleasantville,Pleasantville,0,1998,124,"Comedy,Drama,Fantasy",17,FR,\N,\N,\N,0,de 1990 à 2000,Drama,7.5,131828.0
tt0120789,movie,Pleasantville,Pleasantville,0,1998,124,"Comedy,Drama,Fantasy",17,FR,\N,\N,\N,0,de 1990 à 2000,Fantasy,7.5,131828.0
tt0120791,movie,Practical Magic,Practical Magic,0,1998,104,"Comedy,Drama,Fantasy",34,FR,\N,\N,\N,0,de 1990 à 2000,Comedy,6.3,85978.0
tt0120791,movie,Practical Magic,Practical Magic,0,1998,104,"Comedy,Drama,Fantasy",34,FR,\N,\N,\N,0,de 1990 à 2000,Drama,6.3,85978.0
tt0120791,movie,Practical Magic,Practical Magic,0,1998,104,"Comedy,Drama,Fantasy",34,FR,\N,\N,\N,0,de 1990 à 2000,Fantasy,6.3,85978.0
tt0120794,movie,The Prince of Egypt,The Prince of Egypt,0,1998,99,"Adventure,Animation,Drama",33,FR,\N,imdbDisplay,\N,0,de 1990 à 2000,Adventure,7.2,137162.0
tt0120794,movie,The Prince of Egypt,The Prince of Egypt,0,1998,99,"Adventure,Animation,Drama",33,FR,\N,imdbDisplay,\N,0,de 1990 à 2000,Animation,7.2,137162.0
tt0120794,movie,The Prince of Egypt,The Prince of Egypt,0,1998,99,"Adventure,Animation,Drama",33,FR,\N,imdbDisplay,\N,0,de 1990 à 2000,Drama,7.2,137162.0
tt0120804,movie,Resident Evil,Resident Evil,0,2002,100,"Action,Horror,Sci-Fi",51,FR,\N,imdbDisplay,\N,0,de 2000 à 2010,Action,6.6,276991.0
tt0120804,movie,Resident Evil,Resident Evil,0,2002,100,"Action,Horror,Sci-Fi",51,FR,\N,imdbDisplay,\N,0,de 2000 à 2010,Horror,6.6,276991.0
tt0120804,movie,Resident Evil,Resident Evil,0,2002,100,"Action,Horror,Sci-Fi",51,FR,\N,imdbDisplay,\N,0,de 2000 à 2010,Sci-Fi,6.6,276991.0
tt0120812,movie,Rush Hour,Rush Hour,0,1998,98,"Action,Comedy,Crime",29,FR,\N,imdbDisplay,\N,0,de 1990 à 2000,Action,7.0,276977.0
tt0120812,movie,Rush Hour,Rush Hour,0,1998,98,"Action,Comedy,Crime",29,FR,\N,imdbDisplay,\N,0,de 1990 à 2000,Comedy,7.0,276977.0
tt0120812,movie,Rush Hour,Rush Hour,0,1998,98,"Action,Comedy,Crime",29,FR,\N,imdbDisplay,\N,0,de 1990 à 2000,Crime,7.0,276977.0
tt0120815,movie,Saving Private Ryan,Saving Private Ryan,0,1998,169,"Drama,War",67,FR,\N,\N,\N,0,de 1990 à 2000,Drama,8.6,1414030.0
tt0120815,movie,Saving Private Ryan,Saving Private Ryan,0,1998,169,"Drama,War",67,FR,\N,\N,\N,0,de 1990 à 2000,War,8.6,1414030.0
tt0120828,movie,Six Days Seven Nights,Six Days Seven Nights,0,1998,102,"Action,Adventure,Comedy",23,FR,\N,\N,\N,0,de 1990 à 2000,Action,5.9,80106.0
tt0120828,movie,Six Days Seven Nights,Six Days Seven Nights,0,1998,102,"Action,Adventure,Comedy",23,FR,\N,\N,\N,0,de 1990 à 2000,Adventure,5.9,80106.0
tt0120828,movie,Six Days Seven Nights,Six Days Seven Nights,0,1998,102,"Action,Adventure,Comedy",23,FR,\N,\N,\N,0,de 1990 à 2000,Comedy,5.9,80106.0
tt0120832,movie,Snake Eyes,Snake Eyes,0,1998,98,"Crime,Mystery,Thriller",5,FR,\N,\N,\N,0,de 1990 à 2000,Crime,6.1,83754.0
tt0120832,movie,Snake Eyes,Snake Eyes,0,1998,98,"Crime,Mystery,Thriller",5,FR,\N,\N,\N,0,de 1990 à 2000,Mystery,6.1,83754.0
tt0120832,movie,Snake Eyes,Snake Eyes,0,1998,98,"Crime,Mystery,Thriller",5,FR,\N,\N,\N,0,de 1990 à 2000,Thriller,6.1,83754.0
tt0120844,movie,Star Trek: Insurrection,Star Trek: Insurrection,0,1998,103,"Action,Adventure,Sci-Fi",2,FR,\N,imdbDisplay,\N,0,de 1990 à 2000,Action,6.4,76889.0
tt0120844,movie,Star Trek: Insurrection,Star Trek: Insurrection,0,1998,103,"Action,Adventure,Sci-Fi",2,FR,\N,imdbDisplay,\N,0,de 1990 à 2000,Adventure,6.4,76889.0
